busStopId,name,latitude,longitude,routeId,seq,dir
002402,Pottinger Street,22.283948,114.1563095,20,25,I
002403,Happy Valley (Upper),22.2644018,114.1886419,22,22,I
002406,Kwai Fong Street,22.26682718,114.1874442,22,21,O
002408,Village Road,22.26829514,114.1864753,608,29,O
    
